time,soilmoist1_month_CNRM-CM5_rcp85
2006-01-31 00:00:00+00:00,6.767057
2006-02-28 00:00:00+00:00,13.611465
2006-03-31 00:00:00+00:00,7.253737
2006-04-30 00:00:00+00:00,7.744938
2006-05-31 00:00:00+00:00,6.2470074
2006-06-30 00:00:00+00:00,5.3254704
2006-07-31 00:00:00+00:00,5.3217864
2006-08-31 00:00:00+00:00,6.6874104
2006-09-30 00:00:00+00:00,5.9314814
2006-10-31 00:00:00+00:00,6.2410817
2006-11-30 00:00:00+00:00,5.7296095
2006-12-31 00:00:00+00:00,7.2229996
2007-01-31 00:00:00+00:00,13.261643
2007-02-28 00:00:00+00:00,14.284219
2007-03-31 00:00:00+00:00,12.544933
2007-04-30 00:00:00+00:00,7.4244857
2007-05-31 00:00:00+00:00,6.025802
2007-06-30 00:00:00+00:00,5.4967704
2007-07-31 00:00:00+00:00,5.708996
2007-08-31 00:00:00+00:00,7.9884686
2007-09-30 00:00:00+00:00,11.808759
2007-10-31 00:00:00+00:00,7.1163445
2007-11-30 00:00:00+00:00,7.0546803
2007-12-31 00:00:00+00:00,6.550324
2008-01-31 00:00:00+00:00,5.8826957
2008-02-29 00:00:00+00:00,5.9612255
2008-03-31 00:00:00+00:00,6.00894
2008-04-30 00:00:00+00:00,6.2272935
2008-05-31 00:00:00+00:00,5.3963227
2008-06-30 00:00:00+00:00,5.4174576
2008-07-31 00:00:00+00:00,5.357393
2008-08-31 00:00:00+00:00,5.3421936
2008-09-30 00:00:00+00:00,7.3514547
2008-10-31 00:00:00+00:00,11.214708
2008-11-30 00:00:00+00:00,14.507941
2008-12-31 00:00:00+00:00,16.74515
2009-01-31 00:00:00+00:00,16.594313
2009-02-28 00:00:00+00:00,13.9337225
2009-03-31 00:00:00+00:00,11.028806
2009-04-30 00:00:00+00:00,6.489619
2009-05-31 00:00:00+00:00,5.8867188
2009-06-30 00:00:00+00:00,5.571576
2009-07-31 00:00:00+00:00,5.7058744
2009-08-31 00:00:00+00:00,9.116463
2009-09-30 00:00:00+00:00,8.500838
2009-10-31 00:00:00+00:00,6.2595024
2009-11-30 00:00:00+00:00,12.024061
2009-12-31 00:00:00+00:00,9.67334
2010-01-31 00:00:00+00:00,7.8250217
2010-02-28 00:00:00+00:00,11.72271
2010-03-31 00:00:00+00:00,8.02726
2010-04-30 00:00:00+00:00,5.902217
2010-05-31 00:00:00+00:00,6.669432
2010-06-30 00:00:00+00:00,6.119395
2010-07-31 00:00:00+00:00,6.0401917
2010-08-31 00:00:00+00:00,6.6668706
2010-09-30 00:00:00+00:00,6.5732226
2010-10-31 00:00:00+00:00,6.6195493
2010-11-30 00:00:00+00:00,14.678507
2010-12-31 00:00:00+00:00,19.354704
2011-01-31 00:00:00+00:00,14.572684
2011-02-28 00:00:00+00:00,14.65171
2011-03-31 00:00:00+00:00,12.392065
2011-04-30 00:00:00+00:00,7.349794
2011-05-31 00:00:00+00:00,6.3373632
2011-06-30 00:00:00+00:00,5.332213
2011-07-31 00:00:00+00:00,5.8352113
2011-08-31 00:00:00+00:00,6.2522078
2011-09-30 00:00:00+00:00,5.5307846
2011-10-31 00:00:00+00:00,5.558836
2011-11-30 00:00:00+00:00,5.439582
2011-12-31 00:00:00+00:00,6.6077576
2012-01-31 00:00:00+00:00,10.49667
2012-02-29 00:00:00+00:00,18.32554
2012-03-31 00:00:00+00:00,9.840725
2012-04-30 00:00:00+00:00,5.7810555
2012-05-31 00:00:00+00:00,5.4078712
2012-06-30 00:00:00+00:00,5.504332
2012-07-31 00:00:00+00:00,6.2159996
2012-08-31 00:00:00+00:00,9.407184
2012-09-30 00:00:00+00:00,8.663382
2012-10-31 00:00:00+00:00,9.288778
2012-11-30 00:00:00+00:00,10.738935
2012-12-31 00:00:00+00:00,10.988533
2013-01-31 00:00:00+00:00,15.920596
2013-02-28 00:00:00+00:00,17.887924
2013-03-31 00:00:00+00:00,10.837026
2013-04-30 00:00:00+00:00,7.2896037
2013-05-31 00:00:00+00:00,7.825285
2013-06-30 00:00:00+00:00,5.4839745
2013-07-31 00:00:00+00:00,5.888946
2013-08-31 00:00:00+00:00,10.907551
2013-09-30 00:00:00+00:00,7.4053826
2013-10-31 00:00:00+00:00,6.7970834
2013-11-30 00:00:00+00:00,5.81258
2013-12-31 00:00:00+00:00,9.701157
2014-01-31 00:00:00+00:00,13.660093
2014-02-28 00:00:00+00:00,18.353678
2014-03-31 00:00:00+00:00,10.219017
2014-04-30 00:00:00+00:00,8.866373
2014-05-31 00:00:00+00:00,6.241268
2014-06-30 00:00:00+00:00,5.3524218
2014-07-31 00:00:00+00:00,5.407286
2014-08-31 00:00:00+00:00,7.35278
2014-09-30 00:00:00+00:00,7.6830497
2014-10-31 00:00:00+00:00,7.3413234
2014-11-30 00:00:00+00:00,12.8647785
2014-12-31 00:00:00+00:00,13.341153
2015-01-31 00:00:00+00:00,13.126007
2015-02-28 00:00:00+00:00,20.474293
2015-03-31 00:00:00+00:00,17.324314
2015-04-30 00:00:00+00:00,7.2319684
2015-05-31 00:00:00+00:00,6.8041425
2015-06-30 00:00:00+00:00,5.4274015
2015-07-31 00:00:00+00:00,7.131528
2015-08-31 00:00:00+00:00,7.896544
2015-09-30 00:00:00+00:00,6.0523677
2015-10-31 00:00:00+00:00,6.2675734
2015-11-30 00:00:00+00:00,14.5924015
2015-12-31 00:00:00+00:00,11.991141
2016-01-31 00:00:00+00:00,12.582717
2016-02-29 00:00:00+00:00,13.980491
2016-03-31 00:00:00+00:00,11.40735
2016-04-30 00:00:00+00:00,11.347451
2016-05-31 00:00:00+00:00,5.765586
2016-06-30 00:00:00+00:00,5.3557334
2016-07-31 00:00:00+00:00,7.329664
2016-08-31 00:00:00+00:00,10.970096
2016-09-30 00:00:00+00:00,12.389022
2016-10-31 00:00:00+00:00,6.3988132
2016-11-30 00:00:00+00:00,7.252286
2016-12-31 00:00:00+00:00,12.261227
2017-01-31 00:00:00+00:00,21.145773
2017-02-28 00:00:00+00:00,17.531416
2017-03-31 00:00:00+00:00,9.265748
2017-04-30 00:00:00+00:00,6.1084504
2017-05-31 00:00:00+00:00,6.2109933
2017-06-30 00:00:00+00:00,5.4133525
2017-07-31 00:00:00+00:00,6.9792356
2017-08-31 00:00:00+00:00,5.815048
2017-09-30 00:00:00+00:00,6.988211
2017-10-31 00:00:00+00:00,6.539654
2017-11-30 00:00:00+00:00,8.719199
2017-12-31 00:00:00+00:00,11.601465
2018-01-31 00:00:00+00:00,11.866273
2018-02-28 00:00:00+00:00,15.00386
2018-03-31 00:00:00+00:00,9.371779
2018-04-30 00:00:00+00:00,8.503049
2018-05-31 00:00:00+00:00,7.9428415
2018-06-30 00:00:00+00:00,5.373524
2018-07-31 00:00:00+00:00,5.3231497
2018-08-31 00:00:00+00:00,11.170598
2018-09-30 00:00:00+00:00,6.765888
2018-10-31 00:00:00+00:00,7.9586806
2018-11-30 00:00:00+00:00,12.439066
2018-12-31 00:00:00+00:00,14.567048
2019-01-31 00:00:00+00:00,10.06159
2019-02-28 00:00:00+00:00,16.027548
2019-03-31 00:00:00+00:00,10.938272
2019-04-30 00:00:00+00:00,7.64527
2019-05-31 00:00:00+00:00,7.7192535
2019-06-30 00:00:00+00:00,5.354771
2019-07-31 00:00:00+00:00,5.937137
2019-08-31 00:00:00+00:00,8.849622
2019-09-30 00:00:00+00:00,11.053607
2019-10-31 00:00:00+00:00,10.345169
2019-11-30 00:00:00+00:00,13.656085
2019-12-31 00:00:00+00:00,15.672114
2020-01-31 00:00:00+00:00,13.82776
2020-02-29 00:00:00+00:00,9.867928
2020-03-31 00:00:00+00:00,17.25405
2020-04-30 00:00:00+00:00,9.059934
2020-05-31 00:00:00+00:00,6.1686487
2020-06-30 00:00:00+00:00,5.351485
2020-07-31 00:00:00+00:00,5.4489055
2020-08-31 00:00:00+00:00,6.6868024
2020-09-30 00:00:00+00:00,8.006926
2020-10-31 00:00:00+00:00,5.377391
2020-11-30 00:00:00+00:00,6.3061175
2020-12-31 00:00:00+00:00,13.690307
2021-01-31 00:00:00+00:00,17.195654
2021-02-28 00:00:00+00:00,19.341883
2021-03-31 00:00:00+00:00,11.35714
2021-04-30 00:00:00+00:00,6.1834145
2021-05-31 00:00:00+00:00,5.4851747
2021-06-30 00:00:00+00:00,5.375255
2021-07-31 00:00:00+00:00,6.5411134
2021-08-31 00:00:00+00:00,7.45382
2021-09-30 00:00:00+00:00,5.4222546
2021-10-31 00:00:00+00:00,7.9652576
2021-11-30 00:00:00+00:00,8.655441
2021-12-31 00:00:00+00:00,6.849461
2022-01-31 00:00:00+00:00,15.652446
2022-02-28 00:00:00+00:00,18.983124
2022-03-31 00:00:00+00:00,11.917496
2022-04-30 00:00:00+00:00,7.0122952
2022-05-31 00:00:00+00:00,6.3410273
2022-06-30 00:00:00+00:00,5.8949704
2022-07-31 00:00:00+00:00,5.403913
2022-08-31 00:00:00+00:00,8.080194
2022-09-30 00:00:00+00:00,5.614694
2022-10-31 00:00:00+00:00,5.32082
2022-11-30 00:00:00+00:00,9.324141
2022-12-31 00:00:00+00:00,7.1011114
2023-01-31 00:00:00+00:00,14.05856
2023-02-28 00:00:00+00:00,17.495499
2023-03-31 00:00:00+00:00,8.7096815
2023-04-30 00:00:00+00:00,9.824503
2023-05-31 00:00:00+00:00,5.931972
2023-06-30 00:00:00+00:00,5.362627
2023-07-31 00:00:00+00:00,5.7319484
2023-08-31 00:00:00+00:00,6.232026
2023-09-30 00:00:00+00:00,6.721039
2023-10-31 00:00:00+00:00,7.8817506
2023-11-30 00:00:00+00:00,8.295137
2023-12-31 00:00:00+00:00,7.006872
2024-01-31 00:00:00+00:00,9.538375
2024-02-29 00:00:00+00:00,14.898849
2024-03-31 00:00:00+00:00,13.374734
2024-04-30 00:00:00+00:00,7.0894437
2024-05-31 00:00:00+00:00,5.8203907
2024-06-30 00:00:00+00:00,5.329462
2024-07-31 00:00:00+00:00,5.7703257
2024-08-31 00:00:00+00:00,8.020795
2024-09-30 00:00:00+00:00,5.894637
2024-10-31 00:00:00+00:00,5.771743
2024-11-30 00:00:00+00:00,5.4749813
2024-12-31 00:00:00+00:00,5.622395
2025-01-31 00:00:00+00:00,12.07503
2025-02-28 00:00:00+00:00,10.573587
2025-03-31 00:00:00+00:00,8.120767
2025-04-30 00:00:00+00:00,7.043604
2025-05-31 00:00:00+00:00,5.7084856
2025-06-30 00:00:00+00:00,5.3385124
2025-07-31 00:00:00+00:00,5.364329
2025-08-31 00:00:00+00:00,6.0486617
2025-09-30 00:00:00+00:00,5.5582
2025-10-31 00:00:00+00:00,8.088406
2025-11-30 00:00:00+00:00,10.666942
2025-12-31 00:00:00+00:00,9.57721
2026-01-31 00:00:00+00:00,16.612474
2026-02-28 00:00:00+00:00,20.49766
2026-03-31 00:00:00+00:00,14.218599
2026-04-30 00:00:00+00:00,9.743253
2026-05-31 00:00:00+00:00,6.564582
2026-06-30 00:00:00+00:00,5.837672
2026-07-31 00:00:00+00:00,5.6677623
2026-08-31 00:00:00+00:00,6.2712116
2026-09-30 00:00:00+00:00,5.3773136
2026-10-31 00:00:00+00:00,5.856131
2026-11-30 00:00:00+00:00,11.719877
2026-12-31 00:00:00+00:00,15.097666
2027-01-31 00:00:00+00:00,17.315353
2027-02-28 00:00:00+00:00,18.4627
2027-03-31 00:00:00+00:00,19.22971
2027-04-30 00:00:00+00:00,11.174275
2027-05-31 00:00:00+00:00,5.703857
2027-06-30 00:00:00+00:00,5.329175
2027-07-31 00:00:00+00:00,5.7217946
2027-08-31 00:00:00+00:00,5.635932
2027-09-30 00:00:00+00:00,6.0329347
2027-10-31 00:00:00+00:00,5.924278
2027-11-30 00:00:00+00:00,5.6431656
2027-12-31 00:00:00+00:00,6.7872577
2028-01-31 00:00:00+00:00,9.826091
2028-02-29 00:00:00+00:00,8.28491
2028-03-31 00:00:00+00:00,7.812732
2028-04-30 00:00:00+00:00,6.120797
2028-05-31 00:00:00+00:00,6.1387825
2028-06-30 00:00:00+00:00,5.3926115
2028-07-31 00:00:00+00:00,6.001983
2028-08-31 00:00:00+00:00,5.956914
2028-09-30 00:00:00+00:00,8.645543
2028-10-31 00:00:00+00:00,6.081897
2028-11-30 00:00:00+00:00,12.023776
2028-12-31 00:00:00+00:00,16.363867
2029-01-31 00:00:00+00:00,18.359598
2029-02-28 00:00:00+00:00,18.049131
2029-03-31 00:00:00+00:00,13.5454645
2029-04-30 00:00:00+00:00,7.293131
2029-05-31 00:00:00+00:00,5.6910577
2029-06-30 00:00:00+00:00,5.33744
2029-07-31 00:00:00+00:00,6.1841283
2029-08-31 00:00:00+00:00,7.788037
2029-09-30 00:00:00+00:00,8.304392
2029-10-31 00:00:00+00:00,5.539173
2029-11-30 00:00:00+00:00,6.159914
2029-12-31 00:00:00+00:00,5.8736
2030-01-31 00:00:00+00:00,10.271292
2030-02-28 00:00:00+00:00,10.471862
2030-03-31 00:00:00+00:00,10.944429
2030-04-30 00:00:00+00:00,6.6114807
2030-05-31 00:00:00+00:00,6.978246
2030-06-30 00:00:00+00:00,5.4827085
2030-07-31 00:00:00+00:00,5.8585553
2030-08-31 00:00:00+00:00,6.0741124
2030-09-30 00:00:00+00:00,5.6688066
2030-10-31 00:00:00+00:00,6.0028124
2030-11-30 00:00:00+00:00,8.89827
2030-12-31 00:00:00+00:00,15.070324
2031-01-31 00:00:00+00:00,19.342188
2031-02-28 00:00:00+00:00,15.89628
2031-03-31 00:00:00+00:00,12.130465
2031-04-30 00:00:00+00:00,6.6953573
2031-05-31 00:00:00+00:00,6.1280975
2031-06-30 00:00:00+00:00,5.6645803
2031-07-31 00:00:00+00:00,5.6902184
2031-08-31 00:00:00+00:00,6.4419665
2031-09-30 00:00:00+00:00,5.9883485
2031-10-31 00:00:00+00:00,10.748775
2031-11-30 00:00:00+00:00,13.5242605
2031-12-31 00:00:00+00:00,19.934093
2032-01-31 00:00:00+00:00,20.587421
2032-02-29 00:00:00+00:00,15.993511
2032-03-31 00:00:00+00:00,14.560651
2032-04-30 00:00:00+00:00,9.807676
2032-05-31 00:00:00+00:00,7.288543
2032-06-30 00:00:00+00:00,5.768171
2032-07-31 00:00:00+00:00,5.316738
2032-08-31 00:00:00+00:00,5.7742004
2032-09-30 00:00:00+00:00,7.1812816
2032-10-31 00:00:00+00:00,6.182102
2032-11-30 00:00:00+00:00,8.909666
2032-12-31 00:00:00+00:00,10.323248
2033-01-31 00:00:00+00:00,13.772646
2033-02-28 00:00:00+00:00,16.619574
2033-03-31 00:00:00+00:00,11.708022
2033-04-30 00:00:00+00:00,6.567513
2033-05-31 00:00:00+00:00,5.6865244
2033-06-30 00:00:00+00:00,5.3956733
2033-07-31 00:00:00+00:00,5.383808
2033-08-31 00:00:00+00:00,10.981092
2033-09-30 00:00:00+00:00,8.140521
2033-10-31 00:00:00+00:00,5.9300427
2033-11-30 00:00:00+00:00,13.228519
2033-12-31 00:00:00+00:00,13.779465
2034-01-31 00:00:00+00:00,18.56792
2034-02-28 00:00:00+00:00,13.366829
2034-03-31 00:00:00+00:00,7.534487
2034-04-30 00:00:00+00:00,6.5356193
2034-05-31 00:00:00+00:00,5.6597266
2034-06-30 00:00:00+00:00,5.342976
2034-07-31 00:00:00+00:00,6.00606
2034-08-31 00:00:00+00:00,6.3365993
2034-09-30 00:00:00+00:00,5.944228
2034-10-31 00:00:00+00:00,7.3842688
2034-11-30 00:00:00+00:00,8.021166
2034-12-31 00:00:00+00:00,13.936764
2035-01-31 00:00:00+00:00,14.59337
2035-02-28 00:00:00+00:00,13.109084
2035-03-31 00:00:00+00:00,8.204936
2035-04-30 00:00:00+00:00,5.5724063
2035-05-31 00:00:00+00:00,5.424114
2035-06-30 00:00:00+00:00,5.578266
2035-07-31 00:00:00+00:00,6.79933
2035-08-31 00:00:00+00:00,9.190437
2035-09-30 00:00:00+00:00,7.3474016
2035-10-31 00:00:00+00:00,5.5080047
2035-11-30 00:00:00+00:00,6.1469417
2035-12-31 00:00:00+00:00,16.054705
2036-01-31 00:00:00+00:00,15.117885
2036-02-29 00:00:00+00:00,21.881405
2036-03-31 00:00:00+00:00,11.917225
2036-04-30 00:00:00+00:00,7.624594
2036-05-31 00:00:00+00:00,6.472445
2036-06-30 00:00:00+00:00,5.34115
2036-07-31 00:00:00+00:00,5.5418563
2036-08-31 00:00:00+00:00,6.2653146
2036-09-30 00:00:00+00:00,6.9174566
2036-10-31 00:00:00+00:00,6.503713
2036-11-30 00:00:00+00:00,9.531768
2036-12-31 00:00:00+00:00,7.831532
2037-01-31 00:00:00+00:00,18.008251
2037-02-28 00:00:00+00:00,12.331046
2037-03-31 00:00:00+00:00,16.206188
2037-04-30 00:00:00+00:00,10.009165
2037-05-31 00:00:00+00:00,5.9652696
2037-06-30 00:00:00+00:00,5.344097
2037-07-31 00:00:00+00:00,5.5685973
2037-08-31 00:00:00+00:00,5.5162315
2037-09-30 00:00:00+00:00,6.2956333
2037-10-31 00:00:00+00:00,8.663826
2037-11-30 00:00:00+00:00,9.762794
2037-12-31 00:00:00+00:00,7.338006
2038-01-31 00:00:00+00:00,8.203622
2038-02-28 00:00:00+00:00,10.603693
2038-03-31 00:00:00+00:00,13.248322
2038-04-30 00:00:00+00:00,6.8002944
2038-05-31 00:00:00+00:00,5.8631124
2038-06-30 00:00:00+00:00,5.44462
2038-07-31 00:00:00+00:00,5.436769
2038-08-31 00:00:00+00:00,5.4903693
2038-09-30 00:00:00+00:00,5.513607
2038-10-31 00:00:00+00:00,5.786133
2038-11-30 00:00:00+00:00,11.279033
2038-12-31 00:00:00+00:00,11.643994
2039-01-31 00:00:00+00:00,16.368422
2039-02-28 00:00:00+00:00,12.688877
2039-03-31 00:00:00+00:00,15.230333
2039-04-30 00:00:00+00:00,11.142871
2039-05-31 00:00:00+00:00,8.012664
2039-06-30 00:00:00+00:00,6.049599
2039-07-31 00:00:00+00:00,5.992301
2039-08-31 00:00:00+00:00,5.481114
2039-09-30 00:00:00+00:00,9.551209
2039-10-31 00:00:00+00:00,5.6593328
2039-11-30 00:00:00+00:00,5.31673
2039-12-31 00:00:00+00:00,6.1890306
2040-01-31 00:00:00+00:00,13.145802
2040-02-29 00:00:00+00:00,11.619992
2040-03-31 00:00:00+00:00,7.118694
2040-04-30 00:00:00+00:00,5.674993
2040-05-31 00:00:00+00:00,5.47675
2040-06-30 00:00:00+00:00,5.4068613
2040-07-31 00:00:00+00:00,6.3011813
2040-08-31 00:00:00+00:00,6.5248833
2040-09-30 00:00:00+00:00,8.30214
2040-10-31 00:00:00+00:00,5.6497827
2040-11-30 00:00:00+00:00,8.717186
2040-12-31 00:00:00+00:00,14.731421
2041-01-31 00:00:00+00:00,16.722301
2041-02-28 00:00:00+00:00,11.143444
2041-03-31 00:00:00+00:00,8.42671
2041-04-30 00:00:00+00:00,6.817213
2041-05-31 00:00:00+00:00,6.293971
2041-06-30 00:00:00+00:00,5.8787246
2041-07-31 00:00:00+00:00,5.975173
2041-08-31 00:00:00+00:00,5.9343414
2041-09-30 00:00:00+00:00,5.7543483
2041-10-31 00:00:00+00:00,5.5506253
2041-11-30 00:00:00+00:00,7.154853
2041-12-31 00:00:00+00:00,16.207985
2042-01-31 00:00:00+00:00,12.061532
2042-02-28 00:00:00+00:00,19.610703
2042-03-31 00:00:00+00:00,12.030469
2042-04-30 00:00:00+00:00,7.3074327
2042-05-31 00:00:00+00:00,5.672338
2042-06-30 00:00:00+00:00,5.46241
2042-07-31 00:00:00+00:00,6.15335
2042-08-31 00:00:00+00:00,6.8801856
2042-09-30 00:00:00+00:00,6.8266964
2042-10-31 00:00:00+00:00,5.3614893
2042-11-30 00:00:00+00:00,7.4712486
2042-12-31 00:00:00+00:00,6.884097
2043-01-31 00:00:00+00:00,19.300919
2043-02-28 00:00:00+00:00,19.189844
2043-03-31 00:00:00+00:00,11.7780905
2043-04-30 00:00:00+00:00,6.0558333
2043-05-31 00:00:00+00:00,5.5332203
2043-06-30 00:00:00+00:00,5.4608016
2043-07-31 00:00:00+00:00,5.700963
2043-08-31 00:00:00+00:00,8.0880575
2043-09-30 00:00:00+00:00,7.8479733
2043-10-31 00:00:00+00:00,9.38233
2043-11-30 00:00:00+00:00,15.837169
2043-12-31 00:00:00+00:00,15.004845
2044-01-31 00:00:00+00:00,19.05255
2044-02-29 00:00:00+00:00,13.578859
2044-03-31 00:00:00+00:00,8.425635
2044-04-30 00:00:00+00:00,6.6889353
2044-05-31 00:00:00+00:00,5.59732
2044-06-30 00:00:00+00:00,5.3158174
2044-07-31 00:00:00+00:00,6.7612166
2044-08-31 00:00:00+00:00,5.7321196
2044-09-30 00:00:00+00:00,5.434453
2044-10-31 00:00:00+00:00,6.112672
2044-11-30 00:00:00+00:00,7.9393516
2044-12-31 00:00:00+00:00,9.643995
2045-01-31 00:00:00+00:00,7.4052777
2045-02-28 00:00:00+00:00,10.902728
2045-03-31 00:00:00+00:00,8.493314
2045-04-30 00:00:00+00:00,7.812879
2045-05-31 00:00:00+00:00,5.4808354
2045-06-30 00:00:00+00:00,5.531441
2045-07-31 00:00:00+00:00,5.3670106
2045-08-31 00:00:00+00:00,5.4920106
2045-09-30 00:00:00+00:00,6.03661
2045-10-31 00:00:00+00:00,5.4387727
2045-11-30 00:00:00+00:00,10.020873
2045-12-31 00:00:00+00:00,10.918506
2046-01-31 00:00:00+00:00,14.098123
2046-02-28 00:00:00+00:00,15.970311
2046-03-31 00:00:00+00:00,14.446966
2046-04-30 00:00:00+00:00,10.109538
2046-05-31 00:00:00+00:00,6.37392
2046-06-30 00:00:00+00:00,5.369972
2046-07-31 00:00:00+00:00,5.4525576
2046-08-31 00:00:00+00:00,5.3702826
2046-09-30 00:00:00+00:00,7.827677
2046-10-31 00:00:00+00:00,7.4404817
2046-11-30 00:00:00+00:00,13.776118
2046-12-31 00:00:00+00:00,15.12786
2047-01-31 00:00:00+00:00,17.625507
2047-02-28 00:00:00+00:00,13.776047
2047-03-31 00:00:00+00:00,9.297671
2047-04-30 00:00:00+00:00,6.3965893
2047-05-31 00:00:00+00:00,6.3358088
2047-06-30 00:00:00+00:00,5.528567
2047-07-31 00:00:00+00:00,7.75759
2047-08-31 00:00:00+00:00,6.7204385
2047-09-30 00:00:00+00:00,9.471797
2047-10-31 00:00:00+00:00,6.3407826
2047-11-30 00:00:00+00:00,6.4219832
2047-12-31 00:00:00+00:00,19.192276
2048-01-31 00:00:00+00:00,18.28378
2048-02-29 00:00:00+00:00,14.15735
2048-03-31 00:00:00+00:00,10.337235
2048-04-30 00:00:00+00:00,6.4093657
2048-05-31 00:00:00+00:00,5.443124
2048-06-30 00:00:00+00:00,5.504784
2048-07-31 00:00:00+00:00,5.7810664
2048-08-31 00:00:00+00:00,5.975896
2048-09-30 00:00:00+00:00,5.916838
2048-10-31 00:00:00+00:00,6.788248
2048-11-30 00:00:00+00:00,15.094069
2048-12-31 00:00:00+00:00,11.847306
2049-01-31 00:00:00+00:00,15.833574
2049-02-28 00:00:00+00:00,13.607766
2049-03-31 00:00:00+00:00,8.123925
2049-04-30 00:00:00+00:00,6.332906
2049-05-31 00:00:00+00:00,5.377248
2049-06-30 00:00:00+00:00,5.302101
2049-07-31 00:00:00+00:00,5.329884
2049-08-31 00:00:00+00:00,7.6830053
2049-09-30 00:00:00+00:00,10.730789
2049-10-31 00:00:00+00:00,10.331719
2049-11-30 00:00:00+00:00,7.6717014
2049-12-31 00:00:00+00:00,8.933698
2050-01-31 00:00:00+00:00,8.890666
2050-02-28 00:00:00+00:00,17.697441
2050-03-31 00:00:00+00:00,12.231549
2050-04-30 00:00:00+00:00,6.5909925
2050-05-31 00:00:00+00:00,5.55542
2050-06-30 00:00:00+00:00,5.831651
2050-07-31 00:00:00+00:00,6.196484
2050-08-31 00:00:00+00:00,5.420275
2050-09-30 00:00:00+00:00,5.4214745
2050-10-31 00:00:00+00:00,11.123457
2050-11-30 00:00:00+00:00,14.982457
2050-12-31 00:00:00+00:00,12.038507
2051-01-31 00:00:00+00:00,17.815842
2051-02-28 00:00:00+00:00,19.369568
2051-03-31 00:00:00+00:00,13.975406
2051-04-30 00:00:00+00:00,7.35039
2051-05-31 00:00:00+00:00,5.471796
2051-06-30 00:00:00+00:00,5.5309224
2051-07-31 00:00:00+00:00,5.308591
2051-08-31 00:00:00+00:00,5.3318934
2051-09-30 00:00:00+00:00,5.3787026
2051-10-31 00:00:00+00:00,5.3510637
2051-11-30 00:00:00+00:00,5.305981
2051-12-31 00:00:00+00:00,7.0882263
2052-01-31 00:00:00+00:00,14.689281
2052-02-29 00:00:00+00:00,13.915994
2052-03-31 00:00:00+00:00,13.70949
2052-04-30 00:00:00+00:00,6.4455376
2052-05-31 00:00:00+00:00,5.962869
2052-06-30 00:00:00+00:00,5.5437756
2052-07-31 00:00:00+00:00,6.198596
2052-08-31 00:00:00+00:00,10.740511
2052-09-30 00:00:00+00:00,8.584789
2052-10-31 00:00:00+00:00,9.005504
2052-11-30 00:00:00+00:00,6.4335785
